id,model,makeId,typeId
749,AGILE LS PROCREAUTO,15,1
750,AGILE LT + LLANTAS 5P 1.4N,15,1
751,AGILE LT 5P 1.4N,15,1
752,AGILE LTZ 1.4N C/GOOGLE,15,1
753,AGILE LTZ 5P 1.4N,15,1
754,AGILE LTZ EFFECT 1.4N,15,1
755,ASTRA 1.6,15,1
756,ASTRA 1.8,15,1
757,ASTRA CARAVAN GL 1.7 TD,15,1
758,ASTRA CARAVAN GLS 1.7TD,15,1
759,ASTRA CD 2.0 16V,15,1
760,ASTRA CD 2.0 DTI,15,1
761,ASTRA CD-X 2.0 16V,15,1
762,ASTRA GL 1.7 TURBO DIESEL,15,1
763,ASTRA GL 1.8 MPFI,15,1
764,ASTRA GL 1.8L,15,1
765,ASTRA GL 2.0,15,1
766,ASTRA GL 2.0 DTI,15,1
767,ASTRA GL 2.0 MPFI,15,1
768,ASTRA GL DI 16V,15,1
769,ASTRA GLS,15,1
770,ASTRA GLS 1.7 TD,15,1
771,ASTRA GLS 2.0,15,1
772,ASTRA GLS 2.0 DTI,15,1
773,ASTRA GLS DI 16V,15,1
774,ASTRA GLS FULL,15,1
775,ASTRA GSI 16V,15,1
776,ASTRA GSI 2.4 16V,15,1
777,ASTRA TURBO DIESEL,15,1
778,ASTRO,15,2
779,ASTRO,15,3
780,ASTRO LS,15,2
781,AVALANCHE 5.3 GAS V8 4X4,15,2
782,AVALANCHE 5.3L,15,2
783,AVEO 1.2 LS,15,1
784,AVEO 1.4,15,1
785,AVEO G3 LS 1.6N M/T,15,1
786,AVEO G3 LT 1.6N A/T,15,1
787,AVEO G3 LT 1.6N M/T,15,1
788,AVEO LS,15,1
